"","Item_Number","Set_Name","Theme","Pieces","Price","Amazon_Price","Year","Ages","Pages","Minifigures","Packaging","Weight","Unique_Pieces","Availability","Size"
"5",41901,"Funky Animals Bracelet","DOTS",33,"$4.99 ","$4.99 ",2020,"Ages_6+",NA,NA,"Foil pack",NA,10,"Retail","Small"
"196",10885,"My First Fun Puzzle","DUPLO®",15,"$19.99 ","$19.55 ",2019,"Ages_1½+",9,NA,NA,NA,15,NA,"Large"
"47",43173,"Aurora's Royal Carriage","Disney™",62,"$9.99 ","$9.72 ",2020,"Ages_5+",28,1,"Box",NA,35,"Retail","Small"
"66",31101,"Monster Truck","Creator 3-in-1",163,"$14.99 ","$11.99 ",2020,"Ages_7+",136,NA,"Box",NA,54,"Retail","Small"
"25",10900,"Police Bike","DUPLO®",8,"$9.99 ","$8.99 ",2019,"Ages_2+",10,1,"Box","0.18Kg (0.4 lb)",7,"Retail","Large"
"8",41911,"Go Team! Bracelet","DOTS",33,"$4.99 ","$4.99 ",2020,"Ages_6+",NA,NA,"Foil pack",NA,12,"Retail","Small"
"97",41384,"Andrea's Summer Heart Box","Friends",83,"$7.99 ","$14.99 ",2019,"Ages_6+",36,1,"Other",NA,46,"Retail","Small"
"40",60224,"Satellite Service Mission","City",84,"$9.99 ","$8.99 ",2019,"Ages_5+",56,1,"Box","0.15Kg (0.34 lb)",52,"Retail","Small"
"41",60247,"Forest Fire","City",84,"$9.99 ","$8.99 ",2020,"Ages_5+",56,1,"Box","0.13Kg (0.3 lb)",49,"Retail","Small"
"171",70661,"Spinjitzu Zane","NINJAGO®",109,"$9.99 ","$17.99 ",2019,"Ages_7+",32,1,"Box","0.13Kg (0.29 lb)",21,"Retail","Small"
"143",60178,"Speed Record Car","City",78,"$9.99 ","$16.98 ",2018,"Ages_5-12",40,1,"Box",NA,47,"Retail","Small"
"72",75892,"McLaren Senna","Speed Champions",219,"$14.99 ","$12.93 ",2019,"Ages_7+",64,1,"Box","0.25Kg (0.55 lb)",92,"Retail","Small"
"113",75945,"Expecto Patronum","Harry Potter™",121,"$19.99 ","$15.99 ",2019,"Ages_7+",48,3,"Box",NA,55,"Retail","Small"
"50",21162,"The Taiga Adventure","Minecraft™",74,"$9.99 ","$9.84 ",2020,"Ages_7+",40,2,"Box",NA,48,"Retail","Small"
"43",41451,"Unikitty Cloud Car","Unikitty!™",126,"$9.99 ","$9.17 ",2018,"Ages_5-12",60,3,"Box","0.14Kg (0.31 lb)",83,"Retail","Small"
"80",10714,"Blue Baseplate","Classic",1,"$7.99 ","$13.48 ",2018,"Ages_4-99",NA,NA,NA,"0.1Kg (0.22 lb)",1,"Retail","Small"
"88",41169,"Olaf","LEGO® Frozen 2",122,"$14.99 ","$14.24 ",2019,"Ages_6+",52,NA,"Box",NA,61,"Retail","Small"
"86",76094,"Mighty Micros: Supergirl vs. Brainiac",NA,80,"$9.99 ","$14.09 ",2018,"Ages_5-12",7,2,"Box",NA,50,"Retail",NA
"118",41361,"Mia's Foal Stable ","Friends",118,"$19.99 ","$15.99 ",2019,"Ages_4+",64,1,NA,"0.29Kg (0.64 lb)",66,NA,"Small"
"133",43177,"Belle's Storybook Adventures","Disney™",111,"$19.99 ","$16.37 ",2020,"Ages_5+",3,5,"Box",NA,71,"Retail","Small"
"130",60220,"Garbage Truck","City",90,"$19.99 ","$16.36 ",2019,"Ages_4+",40,2,"Box","0.31Kg (0.69 lb)",52,"Retail","Small"
"115",76123,"Captain America: Outriders Attack","Marvel",167,"$19.99 ","$15.99 ",2019,"Ages_6+",52,3,"Box",NA,75,"Retail","Small"
"92",41385,"Emma's Summer Heart Box","Friends",86,"$7.99 ","$14.67 ",2019,"Ages_6+",36,1,"Other",NA,45,"Retail","Small"
"103",70681,"Spinjitzu Slam - Lloyd","NINJAGO®",70,"$9.99 ","$15.28 ",2019,"Ages_7+",44,1,"Box",NA,34,"Retail","Small"
"105",71370,"Fire Mario Power-Up Pack ","LEGO® Super Mario™",11,"$9.99 ","$15.56 ",2020,"Ages_6+",NA,NA,"Box",NA,9,"Retail","Small"
"175",41391,"Heartlake City Hair Salon","Friends",235,"$19.99 ","$17.99 ",2020,"Ages_6+",84,2,"Box",NA,138,"Retail","Small"
"192",70637,"Cole - Spinjitzu Master","NINJAGO®",73,"$9.99 ","$18.99 ",2018,"Ages_6-14",32,1,"Box",NA,40,"Retail","Small"
"26",10927,"Pizza Stand","DUPLO®",18,"$9.99 ","$8.99 ",2020,"Ages_2+",12,1,"Box",NA,15,"Retail","Large"
"198",70636,"Zane - Spinjitzu Master","NINJAGO®",69,"$9.99 ","$19.65 ",2018,"Ages_6-14",32,1,"Box",NA,38,"Retail","Small"
"155",60253,"Ice-Cream Truck","City",200,"$19.99 ","$17.79 ",2020,"Ages_5+",100,2,"Box","0.37Kg (0.82 lb)",112,"Retail","Small"
"15",11010,"White Baseplate","Classic",1,"$7.99 ","$7.86 ",2020,"Ages_4+",1,NA,"Shrink-wrapped",NA,1,"Retail","Small"
"35",41396,"Puppy Playground","Friends",57,"$9.99 ","$8.99 ",2020,"Ages_4+",40,1,"Box",NA,41,"Retail","Small"
"18",41388,"Mia's Summer Heart Box","Friends",85,"$7.99 ","$7.99 ",2019,"Ages_6+",36,1,"Other",NA,41,"Retail","Small"
"94",10926,"Bedroom","DUPLO®",16,"$14.99 ","$14.99 ",2020,"Ages_2+",2,2,"Box",NA,16,"Retail","Large"
"4",11007,"Creative Green Bricks","Classic",60,"$4.99 ","$4.93 ",2020,"Ages_4+",37,NA,"Box",NA,36,"Retail","Small"
"21",41452,"Prince Puppycorn Trike","Unikitty!™",101,"$9.99 ","$8.95 ",2018,"Ages_5-12",56,3,"Box","0.15Kg (0.33 lb)",65,"Retail","Small"
"87",60190,"Arctic Ice Glider","City",50,"$6.99 ","$14.14 ",2018,"Ages_5-12",28,1,"Box","0.08Kg (0.17 lb)",30,"Retail","Small"
"52",76141,"Thanos Mech","Marvel",152,"$9.99 ","$9.84 ",2020,"Ages_6+",56,1,"Box",NA,62,"Retail","Small"
"145",21153,"The Wool Farm","Minecraft™",260,"$19.99 ","$16.99 ",2019,"Ages_7+",80,1,"Box",NA,81,"Retail","Small"
"185",42104,"Race Truck","Technic™",227,"$19.99 ","$18.84 ",2020,"Ages_7+",35,NA,"Box",NA,59,"Retail","Small"
"38",60249,"Street Sweeper","City",89,"$9.99 ","$8.99 ",2020,"Ages_5+",48,1,"Box","0.14Kg (0.31 lb)",55,"Retail","Small"
"79",75267,"Mandalorian Battle Pack","Star Wars™",102,"$14.99 ","$13.47 ",2020,"Ages_6+",44,4,"Box",NA,59,"Retail","Small"
"51",75264,"Kylo Ren's Shuttle Microfighter","Star Wars™",72,"$9.99 ","$9.84 ",2020,"Ages_6+",40,1,"Box",NA,40,"Retail","Small"
"45",60263,"Ocean Mini-Submarine","City",41,"$9.99 ","$9.49 ",2020,"Ages_4+",37,1,"Box","0.13Kg (0.28 lb)",30,"Retail","Small"
"70",42101,"Buggy","Technic™",117,"$12.99 ","$12.93 ",2020,"Ages_7+",48,NA,"Box",NA,47,"Retail","Small"
"190",76896,"Nissan GT-R NISMO","Speed Champions",298,"$19.99 ","$18.95 ",2020,"Ages_7+",80,1,"Box",NA,101,"Retail","Small"
"184",60218,"Desert Rally Racer","City",75,"$9.99 ","$18.81 ",2019,"Ages_5+",36,1,"Box","0.16Kg (0.35 lb)",45,"Retail","Small"
"19",41387,"Olivia's Summer Heart Box","Friends",93,"$7.99 ","$7.99 ",2019,"Ages_6+",40,2,"Other",NA,48,"Retail","Small"
"107",70848,"Systar Party Crew","THE LEGO® MOVIE 2™",196,"$19.99 ","$15.66 ",2019,"Ages_7+",80,2,"Box",NA,104,"Retail","Small"
"3",11006,"Creative Blue Bricks","Classic",52,"$4.99 ","$4.93 ",2020,"Ages_4+",37,NA,"Box",NA,28,"Retail","Small"
"30",60206,"Jet Patrol","City",54,"$9.99 ","$8.99 ",2019,"Ages_4+",36,2,"Box","0.14Kg (0.32 lb)",45,"Retail","Small"
"68",70822,"Unikitty's Sweetest Friends EVER!","THE LEGO® MOVIE 2™",76,"$9.99 ","$12.50 ",2019,"Ages_5+",36,3,"Box","0.08Kg (0.18 lb)",50,"Retail","Small"
"140",41409,"Emma's Play Cube - Toy Store","Friends",49,"$9.99 ","$16.86 ",2020,"Ages_6+",5,1,"Box",NA,42,"Retail","Small"
"73",31086,"Futuristic Flyer","Creator 3-in-1",157,"$14.99 ","$12.93 ",2019,"Ages_7+",136,NA,"Box","0.27Kg (0.59 lb)",65,"Retail","Small"
"83",75246,"Death Star Cannon","Star Wars™",159,"$19.99 ","$13.85 ",2019,"Ages_7+",80,2,"Box",NA,79,"Retail","Small"
"58",11001,"Bricks and Ideas","Classic",123,"$9.99 ","$9.97 ",2019,"Ages_4+",42,NA,NA,"0.17Kg (0.37 lb)",59,NA,"Small"
"62",60191,"Arctic Exploration Team","City",70,"$9.99 ","$10.00 ",2018,"Ages_5-12",28,3,"Box","0.12Kg (0.26 lb)",47,"Retail","Small"
"78",75266,"Sith Troopers Battle Pack","Star Wars™",105,"$14.99 ","$13.47 ",2020,"Ages_6+",40,3,"Box",NA,51,"Retail","Small"
"180",70683,"Spinjitzu Slam - Zane","NINJAGO®",63,"$9.99 ","$18.47 ",2019,"Ages_7+",40,1,"Box",NA,37,"Retail","Small"
"172",41397,"Juice Truck","Friends",103,"$19.99 ","$17.99 ",2020,"Ages_4+",52,2,"Box",NA,75,"Retail","Small"
"195",76090,"Mighty Micros: Star-Lord vs. Nebula","Marvel",86,"$9.99 ","$19.49 ",2018,"Ages_5-12",7,2,"Box",NA,45,"Retail","Small"
"24",10897,"My First Minnie Build","Disney™",10,"$9.99 ","$8.99 ",2019,"Ages_1½+",10,NA,"Box","0.25Kg (0.55 lb)",9,"Retail","Small"
"67",60237,"Curves & Crossroad","City",2,"$14.99 ","$11.99 ",2019,"Ages_5+",NA,NA,"Shrink-wrapped","0.2Kg (0.44 lb)",2,"Retail","Small"
"152",71373,"Builder Mario Power-Up Pack","LEGO® Super Mario™",10,"$9.99 ","$17.40 ",2020,"Ages_6+",NA,NA,"Box",NA,8,"Retail","Small"
"123",76142,"Avengers Speeder Bike Attack","Marvel",226,"$19.99 ","$15.99 ",2020,"Ages_6+",104,3,"Box",NA,97,"Retail","Small"
"11",41919,"Power Bracelet","DOTS",33,"$4.99 ","$4.99 ",2020,"Ages_6+",NA,NA,"Foil pack",NA,12,"Retail","Small"
"167",10910,"Submarine Adventure","DUPLO®",24,"$19.99 ","$17.99 ",2019,"Ages_2+",8,2,"Box",NA,22,"Retail","Large"
"168",10901,"Fire Truck","DUPLO®",21,"$19.99 ","$17.99 ",2019,"Ages_2+",10,2,"Box","0.45Kg (0.99 lb)",16,"Retail","Large"
"166",10909,"Heart Box","DUPLO®",80,"$19.99 ","$17.99 ",2020,"Ages_1½+",2,NA,"Box",NA,39,"Retail","Large"
"60",10870,"Farm Animals","DUPLO®",16,"$9.99 ","$9.99 ",2018,"Ages_2-5",8,NA,"Box",NA,13,NA,"Large"
"57",76158,"Batboat The Penguin Pursuit!","Batman™",54,"$9.99 ","$9.89 ",2020,"Ages_4+",44,2,"Box",NA,41,"Retail","Small"
"161",41404,"Emma's Play Cube - Photographer","Friends",36,"$9.99 ","$17.97 ",2020,"Ages_6+",5,1,"Box",NA,31,"Retail","Small"
"59",76089,"Mighty Micros: Scarlet Spider vs. Sandman","Marvel",89,"$9.99 ","$9.99 ",2018,"Ages_5-12",7,2,"Box",NA,49,"Retail","Small"
"77",75895,"1974 Porsche 911 Turbo 3.0","Speed Champions",180,"$14.99 ","$13.29 ",2019,"Ages_7+",80,1,"Box",NA,75,"Retail","Small"
"84",10401,"Rainbow Fun","Classic",85,"$4.99 ","$14.00 ",2018,"Ages_5-99",37,NA,"Box",NA,42,"Retail","Small"
"121",21151,"The End Battle","Minecraft™",222,"$19.99 ","$15.99 ",2019,"Ages_7+",72,2,"Box","0.38Kg (0.84 lb)",91,"Retail","Small"
"194",31072,"Extreme Engines","Creator 3-in-1",109,"$9.99 ","$18.99 ",2018,"Ages_6-12",76,NA,"Box","0.19Kg (0.42 lb)",53,"Retail","Small"
"129",70823,"Emmet's Thricycle!","THE LEGO® MOVIE 2™",174,"$14.99 ","$16.00 ",2019,"Ages_7+",84,1,"Box","0.25Kg (0.55 lb)",100,"Retail","Small"
"98",70645,"Cole - Dragon Master","NINJAGO®",92,"$14.99 ","$14.99 ",2018,"Ages_8-14",48,1,"Box",NA,54,"Retail","Small"
"128",60221,"Diving Yacht","City",148,"$19.99 ","$16.00 ",2019,"Ages_5+",64,2,"Box","0.34Kg (0.74 lb)",81,"Retail","Small"
"90",70682,"Spinjitzu Slam - Jay","NINJAGO®",72,"$9.99 ","$14.43 ",2019,"Ages_7+",44,1,"Box",NA,37,"Retail","Small"
"132",43176,"Ariel's Storybook Adventures","Disney™",105,"$19.99 ","$16.37 ",2020,"Ages_5+",3,3,"Box",NA,61,"Retail","Small"
"183",41407,"Olivia's Play Cube - Sweet Shop","Friends",47,"$9.99 ","$18.65 ",2020,"Ages_6+",5,1,"Box",NA,40,"Retail","Small"
"29",60251,"Monster Truck","City",55,"$9.99 ","$8.99 ",2020,"Ages_5+",32,1,"Box","0.14Kg (0.31 lb)",34,"Retail","Small"
"14",41386,"Stephanie's Summer Heart Box","Friends",95,"$7.99 ","$7.71 ",2019,"Ages_6+",40,1,"Other",NA,52,"Retail","Small"
"102",31092,"Helicopter Adventure","Creator 3-in-1",114,"$9.99 ","$15.04 ",2019,"Ages_6+",92,NA,"Box","0.19Kg (0.42 lb)",68,"Retail","Small"
"112",10771,"Carnival Thrill Coaster","Disney™",98,"$19.99 ","$15.99 ",2019,"Ages_4+",44,2,"Box",NA,56,"Retail","Small"
"85",41608,"Han Solo","Star Wars™",141,"$9.99 ","$14.00 ",2018,"Ages_10+",44,NA,"Box",NA,51,"Retail","Small"
"181",41401,"Stephanie's Play Cube - Baker","Friends",44,"$9.99 ","$18.54 ",2020,"Ages_6+",5,1,"Box",NA,37,"Retail","Small"
"125",10886,"My First Car Creations","DUPLO®",34,"$19.99 ","$16.00 ",2019,"Ages_1½+",10,NA,NA,"0.64Kg (1.41 lb)",31,NA,"Large"
"199",41405,"Andrea's Play Cube - Pet Shop","Friends",40,"$9.99 ","$19.80 ",2020,"Ages_6+",5,1,"Box",NA,33,"Retail","Small"
"34",41389,"Ice Cream Cart","Friends",97,"$9.99 ","$8.99 ",2020,"Ages_6+",40,1,"Box",NA,60,"Retail","Small"
"96",41356,"Stephanie's Heart Box","Friends",85,"$7.99 ","$14.99 ",2019,"Ages_6+",32,1,NA,"0.13Kg (0.29 lb)",36,NA,"Small"
"89",60238,"Switch Tracks","City",8,"$15.99 ","$14.39 ",2018,"Ages_5-12",NA,NA,"Box","0.28Kg (0.62 lb)",4,"Retail","Small"
"200",41287,"Bubbles Playground Showdown","Powerpuff Girls™",144,"$19.99 ","$19.84 ",2018,"Ages_6-12",48,3,"Box","0.23Kg (0.51 lb)",92,"Retail","Small"
"63",21157,"BigFig Pig with Baby Zombie","Minecraft™",159,"$14.99 ","$10.99 ",2020,"Ages_7+",40,NA,"Box",NA,47,"Retail","Small"
"187",41400,"Andrea's Play Cube - Singer","Friends",49,"$9.99 ","$18.93 ",2020,"Ages_6+",5,1,"Box",NA,32,"Retail","Small"
"106",70680,"Monastery Training","NINJAGO®",122,"$9.99 ","$15.64 ",2019,"Ages_6+",40,2,"Box","0.13Kg (0.29 lb)",65,"Retail","Small"
"137",41251,"Poppy's Pod","Trolls World Tour",103,"$19.99 ","$16.82 ",2020,"Ages_4+",68,1,"Box",NA,70,"Retail","Small"
"74",31088,"Deep Sea Creatures","Creator 3-in-1",230,"$14.99 ","$12.93 ",2019,"Ages_7+",176,NA,"Box","0.31Kg (0.68 lb)",83,"Retail","Small"
